model_answer,student_answer,grades
At the main function.,c program begin execution main,5
At the main function.,function main,5
At the main function.,test phase,0
At the main function.,main function,5
At the main function.,main function int main,5
At the main function.,main method,5
At the main function.,c program begin execute main function,5
At the main function.,main function,5
At the main function.,begin main function,5
At the main function.,main method,5
At the main function.,main function,5
At the main function.,begin execute funcion main,5
At the main function.,c program begin execute main method,5
At the main function.,int main,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",examines name type order argument on function,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",type initilized int char etc,2
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",base on number type order argument function call,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",creates set candidate function set viable function,3
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",overloaded function distinguish signature name mangle name decoration type safe linkage ensure proper overload function call type argument conform tpes parameter,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",function signature,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",differentiate compiler condition input use one overloaded function,4
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",name different parameter,3
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",overload function simply invovles haing method name within class use implement method subclass override word replaces implementation super class overload concept provide different mean object base on context presence overload one type polymorphism also feature program,1
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",function signature,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",not answer,0
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",differntiated number type order argument function call,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",number type order parameter,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",compiler distinguishes overload function signature encodes function identifier number type parameter generate type safe linkage ensure proper overload function call,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",compiler selects right function execute number type order argument function call,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",overloaded function differentiate parameter,4
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",compiler selects proper function execute base on number type order argument function call,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",number type order argument,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",paremeters,4
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",compiler differentiates overload function signature,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",return type different input parameter,1
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",signature return type argument list,3
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",number type argument,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",overloaded function must return type different input parameter,1
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",selects proper function execute base on number type order argument function call,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",unique function signature,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",number type parameter,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",compiler selects proper function execute base on number type order argument function call,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",compiler selects proper function execute base on number type order argument function call,5
"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",look number type order argument function call,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",f 3,2
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",pointer array initially point first element array pointer incremented point next element on,2
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",use pointer element index,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",pointer front array add memory location or offset initial value,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",int x 10 int xptr xptr x address x 1 xptr 1,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",b 3 bptr 3,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",get memory location first element add offset get element,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",reference pointer refer pointer relative first pointer pointer 1 pointer 2 etc,2
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",array sign pointer element array assign pointer,2
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",use either name array pointer use separate pointer point array,3
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",element b 3 reference use bptr 3 instead,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",multi dimensional array,0
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",take number array elements point time,1
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",element b n access bptr n,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",element b n access bptr n example how array address pointer offset notation,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",b3 bptr 3 array treat pointer,4
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",array element,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",yes array offset,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",a i a i,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",element a n access aptr n,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",use star operator array b n access bpointer n,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",name array consider pointer c pass function parameter declare int a 10 creates pointer a store address a 0,3
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",array address pointer offset notation set pointer variable equal variable name array element array access add offset value pointer variable,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",arrayname index,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",first pointer variable must reference first entity array variable array access refer first entity s address plus offset i e ptrtoarray array nthentity ptrtoarray n,5
"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",array act pointer reference pointer arrayptr 3 array 3,5
By reference.,pass head pointer go list need inside function,5
By reference.,pas by reference,5
by reference.,specify array name without bracket array size normally pass another argument function process specific number element array array pass reference individual array element pass value function take array argument,5
By reference.,pass pointer link list object,2
By reference.,link list object contain head element accessible,4
By reference.,link list pass reference specificly head pointer,5
by reference.,reference,5
by reference.,way declaration actual function,3
by reference.,reference default unless specify const later make array unmodifiable,5
by reference.,reference,5
By reference.,refrenece,5
By reference.,link list permit insertion removal node point list constant time 1 not allow random access,0
by reference.,1st must specify array name without bracket array name size pass two argument function call,4
by reference.,function recieves array array size parameter function arrayname arraysize,4
by reference.,specify array name without bracket,3
by reference.,pas name array function for int bin 10 pas array like so jingle bin jingle must declare correctly order receive array either prototype void jingle int definition initialization void jingle int array also worth note array pass function reference not copy large array burn memory give function complete control array however,5
By reference.,pas head pointer function reference argument,5
by reference.,call function function must loop array get set character,1
By reference.,method access link list s head pointer access entire list,5
by reference.,two part array itself size function pass avoid bound error,4
by reference.,array pass reference pass start address array programmer specifies array name without bracket pass array size another argument function process specific number element array,5
by reference.,must pass array size function ex function array size,4
By reference.,function access link list s head pointer access entire list pas head ponter function reference argument,5
by reference.,pas pointer first item also pass size,4
By reference.,pas head pointer function since access entire list,5
By reference.,head object pass function,4
By reference.,link list pass use pointer,3
by reference.,array pass function reference,5
By reference.,not answer,0
By reference.,pointer node,3
By reference.,link list pass argument function pass head pointer list reference,5
by reference.,refrence,5
by reference.,reference pointer element array,4
By reference.,function access link list s head pointer access entire list pas head pointer function reference argument,5
By reference.,pass reference want function change pointer,4
By reference.,pas head pointer function reference argument,5
By reference.,pointer first element pass function,5
by reference.,array pass reference,5
by reference.,function int int length,4
by reference.,usually way pas anything else not specify length char array pas function send name array example char str 20 ispalindrome str send char array function ispalindrome otherwise need send length array well,3
By reference.,use node,2
by reference.,function read variable store them return ever variable read function print content array,1
By reference.,head pointer pass function reference argument,5
By reference.,send pointer object linkedlist class,2
by reference.,reference only,5
By reference.,pass pointer head,5
by reference.,specify array name pass reference argument function,5
By reference.,pass head pointer link list function give function access node link list,5
By reference.,head list take head address traverse on in,5
By using constructors.,object usually initialized begin program initialize usually main function initialize after class s name,1
By using constructors.,variable set give value 0 none give,1
By using constructors.,initialize constructor,5
By using constructors.,initialize 0,1
By using constructors.,object initialize essentially copy correspond class complete separate variable,2
By using constructors.,object initialize give object type name initial value,1
By using constructors.,constructor default not provide user programmer specify constructor,5
By using constructors.,classname objectname input parameter,3
By using constructors.,value specify after declaration initialize anywhere declaration correspond,1
By using constructors.,initialize use name class,1
By using constructors.,initialize value dependent on compiler,1
By using constructors.,objectname classname call function class objectname funciton,0
By using constructors.,class call constructor,2
By using constructors.,not answer,0
By using constructors.,give value,2
By using constructors.,initialize dot constructor object create,0
By using constructors.,ie gradebook mygradebook call upon class give name like show,0
By using constructors.,object refers class constructor s initialize object base on return type parameter pass compiler auto create one one not provide,5
By using constructors.,object assign space memory create name give object point memory address object data resides,1
By using constructors.,class gradebook initialize main function use constructor gradebook class no constructor specify find c use default one no parameter gradebook mygradebook bit code class gradebook initialize object mygradebook,5
By using constructors.,obj initialized variable call them create within class e i classname objectname etc,1
By using constructors.,initialize name instance template form class name instance modify different class create from,3
By using constructors.,default constructor object class no constructor specify us default system constructor,4
By using constructors.,object initialize constructor call whether one provide c assigns default constructor,5
By using constructors.,lt variable type gt lt variable name gt or want initialize variable certain value lt variable type gt lt variable name gt lt value gt,1
By using constructors.,declare class first name variable variable need put constructor ex class myclass x y,5
By using constructors.,object initialize state classname first assign name object within object s place initialize,3
By using constructors.,memory allocate accordance type initialization input,1
By using constructors.,object initialize value give object define certain task,2
By using constructors.,use constructor,5
Data members (attributes) and member functions.,data function,5
Data members (attributes) and member functions.,data member member function,5
Data members (attributes) and member functions.,begin class follow class name usually constructor data member member function delineate class include class s definition,5
Data members (attributes) and member functions.,data member member function,5
Data members (attributes) and member functions.,member function,3
Data members (attributes) and member functions.,function data member belong class,5
Data members (attributes) and member functions.,attribute say class also whether not subclass also whether public private protect,4
Data members (attributes) and member functions.,class expand concept data structure hold data function execute,5
Data members (attributes) and member functions.,constructor several data member least one public data member method,4
Data members (attributes) and member functions.,class name two curly prenthesis public private,1
Data members (attributes) and member functions.,specific class name include only information define class implementation detail etc,2
Data members (attributes) and member functions.,class variable function definition class,5
Data members (attributes) and member functions.,class definition usually contain function data member,5
Data members (attributes) and member functions.,class name public data type constructor method function,2
Data members (attributes) and member functions.,public section private section must semicolon set end,1
Data members (attributes) and member functions.,member function data member,5
Data members (attributes) and member functions.,keyword class follow class name on inside declare public private declaration class,3
Data members (attributes) and member functions.,data member member function,5
Data members (attributes) and member functions.,u usually set get displaymessge message tell property class not reveal implementation anything want class definition,1
Data members (attributes) and member functions.,object data,1
Data members (attributes) and member functions.,member function data member belong class,5
Data members (attributes) and member functions.,since class user define body declaration contain member either data function declaration optionally access specifier example specifier public private protect keyword class class body enclose bracket,5
Data members (attributes) and member functions.,public private area include function variable use class,5
Data members (attributes) and member functions.,member funtions data member,5
Data members (attributes) and member functions.,class definition typically include function definition,3
Data members (attributes) and member functions.,data member member function,5
Data members (attributes) and member functions.,constructor function variable accessible class possibly class depend on how do,5
Data members (attributes) and member functions.,data method,5
Data members (attributes) and member functions.,information tell compiler data member member function belong class,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable access inside member function only data member access throughout class,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable cannot use outside function body function terminate value local variable lose data member variable class definition exist throughout life object,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,variable inside member function only access inside member data member accessed throughought program,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member general term describe object instantiate within member function local local variable refers scope variable locate anything control structure class local variable whose scope member function data member member function,0
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member data component particular class member function function component class,1
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,every member function access modify data member local variable only use line declaration next closing before lose memory,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member variable declare inside class definition outside body class member function local variable only use within function declaration,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member declare inside class outside member function unlike local variable object class keep copy data member store memory,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable only useable within function define whereas data member available method within class,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member declare class definition outside body class s member function definition local variable declare function definition s body,3
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member local variable declare function definitionâ s body cannot use outside function body function terminate value local variable lose,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member globally accessible local variable only accessible inside member function,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member part c class structure store data certain type local variable inside member function only available inside function use derive desire outcome,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member access outside class whereas local variable cannot,3
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member permanent attribute class local variable inside member function lose scope member function end,3
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member accessible anywhere class local variable member function only accessible particular function freed after function exit,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable use only within scope declaration,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable member function static data member change value freely,0
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable only access within scope declaration,3
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,field variable variable declare member class local variable avariable isdeclared local method,1
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member atributes function use outside function local variable not use outside function value lose after function terminates,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,variable declare function defination s body cannot use outside function data member accessible only member function class,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member exist permanently program s memory long run local variable inside member function temporal only used operate function exist long function run,2
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable lose exit block code data member not,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member variable represent attribute class definition local variable declare function body cannot use outside function body function terminate value local variable lose,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable only use within function data member set public access use throughout,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member encapsulate within class object static share instance class however local variable s only use function block declare not whole class wise call global variable,3
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable only available function,4
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable cannot access outside function declare data member normally private variable function declare private accessible only member function class declare,5
Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data member accessible function class local variable only available member function value lose function close,5
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",example array on n element divide conquer split up array equal half repeat process element,3
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide element recur conquer work merge sort quicksort,3
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",take large problem split simple small problem,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide large problem small incident problem solve small incident,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide and conquer refers abstraction act separate large complex problem small easy problem solve relatively simple algorithm,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",problem big split small problem type solve those solution small problem give solution large original problem,5
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide conquer mean break problem two small problem solve those put two solution together,5
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",take large problem split two easy fast solution make good readability,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide one large string line value sepereate smallers line easily manipulate replace order be,2
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",show use cpp header file split program up small subsection individual code become easy write keep up opposed code one file,1
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide problem singular unit work on problem piece piece problem solve,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide array half sort half sort back one array,3
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",small part easier compare compare whole divide problem down half easily compare work backwards put back together give solution,5
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",idea split problem half solve small split problem,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",split problem small manageable part proceed address small problem,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",break up large data structure small sub unit easier manipulate,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",idea divide conquer take large problem split n small problem make program easy read modify,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide coquer mean divide problem 2 problem solve merge back together final solution whole problem,5
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide conquer paradigm divide problem small small portion easier solve,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide big problem small problem solve small problem join small solve element problem two ore element array divide array part compare element after comperison conquer element array n element first half n 2 element,5
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",separate large program small class target reach,1.5
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide and conquer technique take sort algorithm break up array small element array tackle problem run algorithm,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",take class break down everything suppose easily manage function,1
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",dive conquer break up large complex program small easy solve component,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide conquer paradigm split large problem simpler problem point solves simpler problem merge simple solution together answer large problem,5
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",take problem divide small problem solve small problem divide small problem solve it thus solve whole problem process,4.5
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide conquer divide program half multiple time extent program whole easy work group solve problem,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide and conquer paradigm take data divide two part work on part indiviually item find,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide and conquer paradigm divide problem two piece work on piece separately allow faster approach 2 separate small problem,4
"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.",divide conquer paradigm recursive solution keep divide problem halve base case reach,4
enqueue and dequeue,enqueue dequeue,5
enqueue and dequeue,enque data deque,5
enqueue and dequeue,dequeue enqueue,5
enqueue and dequeue,enqueue dequeue add remove element queue,5
enqueue and dequeue,enqueue dequeue,5
enqueue and dequeue,enqueue add item queue dequeue take first item queue,5
enqueue and dequeue,two function be enqueue dequeue,5
enqueue and dequeue,enqueue dequeue,5
enqueue and dequeue,enqueue insert specify element head specify queue dequeue remove specify element queue,5
enqueue and dequeue,two main function enqueue dequeue,5
enqueue and dequeue,two main function enqueue insert item back queue dequeue remove item front queue,5
enqueue and dequeue,remove item add first add item back,5
enqueue and dequeue,enqueue dequeue,5
enqueue and dequeue,enqueue insert queue dequeue remove element,5
enqueue and dequeue,enqueue add data queue dequeue delete data queue,5
enqueue and dequeue,enqueue dequeue,5
enqueue and dequeue,rear front,2
enqueue and dequeue,two main function queue enqueue dequeue,5
Extra space required to store the back pointers.,node require extra pointer space requirement increase insertion deletion node take longer more pointer operation,5
Extra space required to store the back pointers.,process add remove node doubly link list complex basic link list,3
Extra space required to store the back pointers.,insert delete double link list involve special case begin end,3
Extra space required to store the back pointers.,increase memory requirement slightly complicate modify element list,5
Extra space required to store the back pointers.,node require extra node require memory difficult insert remove individual node,5
Extra space required to store the back pointers.,take up twice much memory node,5
Extra space required to store the back pointers.,little confuse special case end begin become difficult do,3
Extra space required to store the back pointers.,double link list require space per node elementary operation expensive,5
Extra space required to store the back pointers.,need memory store previous pointer,5
Extra space required to store the back pointers.,doubly link list pointer set mechanic insert delete difficult also special case begin end list complicate,4
Extra space required to store the back pointers.,node take up memory,5
Extra space required to store the back pointers.,pointer set mechanic insert delete doubly link list bit involved singly link list,4
Extra space required to store the back pointers.,difficult delete create node,3
Extra space required to store the back pointers.,insertion deletion doubly link list involve singly link list leave room error complex algorithm,3
Extra space required to store the back pointers.,not answer,0
Extra space required to store the back pointers.,take up twice storage need,5
Extra space required to store the back pointers.,node doubly link list take up memory node singly link list,5
Extra space required to store the back pointers.,double link list require space per node elementary operation expensive,5
Extra space required to store the back pointers.,doubly link list twice many pointer element therefore memory use,5
Extra space required to store the back pointers.,increased action add remove element link list,3
Extra space required to store the back pointers.,main disadvanate hard remove item list,1
Extra space required to store the back pointers.,keep up consider predecessor successor connection insert delete,3
Extra space required to store the back pointers.,1 node require extra pointer require space 2 insertion deletion node take bit longer pointer operation,5
Extra space required to store the back pointers.,use pointer enable backward movement take up memory pointer make slightly work add remove node list,5
Extra space required to store the back pointers.,use memory make 2 pointer update 2 pointer time change list,5
Extra space required to store the back pointers.,node require extra pointer take up storage insertion deletion require pointer operation,5
File scope.,function follow deceleration source code file allow access variable also global scope variable retrain value throughout execution program,5
File scope.,accesed class object variable class,1
File scope.,global variable file scope variable know function throught file,5
File scope.,file scope,5
File scope.,accessed c file anywhere,0
File scope.,global variable file scope,5
File scope.,variable declare global function class use variable,4
File scope.,global variable program scope accessible anywhere program,4
File scope.,throught programm,4
File scope.,entire program,4
File scope.,global variable identifier retain value throughout execution program file scope,5
File scope.,global variable use function long appropriate h file hold variable include,3
File scope.,use throughout program,4
File scope.,global variable file scope,5
File scope.,global variable file scope,5
File scope.,entire program file,5
File scope.,file scope,5
File scope.,variable exist throught entire script value change anytime code fucntions,4
File scope.,scope global variable file level,5
File scope.,variable accessible anywhere program long public,4
File scope.,globally anywhere program,4
File scope.,whole code,4
File scope.,accessed part program reference function follow declaration definition source file,5
File scope.,accessible function within program,4
File scope.,reference function follow declaration definition source file,5
File scope.,global variable b access class wit object variable class,1
File scope.,file scope place outside function,5
File scope.,entire program,4
File scope.,scope global variable create place variable declaration outside class function definition global variable retain value throughout execution program reference function follow declaration definition source file,0
File scope.,throughout execution program,4
File scope.,reference function follow declaration definition inside source file,5
"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).",deletion node depend upon child avl binary search tree assume not avl tree node delete no child set pointer null leave child right child exclusively child replaces delete node two child leave child right sub tree or right child leave subtree will replace,5
"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).",traverse tree find node node no child simply delete it otherwise set node s data equal data one child set pointer child null,3
"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).",replace node large element leave subtree replace small element right subtree,5
"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).",link to be delete s leave child to be delete s parent s leave child pointer,3.5
"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).",node leaf simply deallocated deleted memory parent s reference change null node single child pointer make point child before delete node node two child easy solution copy node s entire subtree new array tree delete node descendant add element take subtree back main tree,4
